ID06,ED_Name,NUTS4,NUTS3,NUTS2,NUTS1,HP2006abs,HP2011abs,HP2016abs,HP2006rel,HP2011rel,HP2016rel,TOTPOP02,TOTPOP06,TOTPOP11,TOTPOP16,popdep_T,popdep_L,popdep_M,popdep_H,share_T,share_L,share_M,share_H,share,POPCHG06,POPCHG11,POPCHG16,AGEDEP06,AGEDEP11,AGEDEP16,LONEPA06,LONEPA11,LONEPA16,EDLOW_06,EDLOW_11,EDLOW_16,EDHIGH06,EDHIGH11,EDHIGH16,HLPROF06,HLPROF11,HLPROF16,LSKILL06,LSKILL11,LSKILL16,UNEMPM16,UNEMPF16,PEROOM06,PEROOM11,PEROOM16,LARENT06,LARENT11,LARENT16,PRRENT06,PRRENT11,PRRENT16,OHOUSE16
15044,BALLYARTHUR,Wicklow,Mid East,Southern & Eastern Region,Ireland,1,-9.2,-3.1,1,-3.1,0.9,831,974,"1,024","1,102",1102,506,183,37,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,37.3,37.6,37.9,20.1,20.6,17.5,17,14.5,11.9,29.8,28.4,33.4,37,38.5,41.1,17,16.3,19.4,13.8,9.3,0.5,0.5,0.5,10.9,11.1,12.4,3.4,8,9.1,75.3
15045,BALLYCULLEN,Wicklow,Mid East,Southern & Eastern Region,Ireland,4.2,0,-1.1,4.2,6.6,3.7,230,217,269,330,330,118,28,3,0.01,0.01,0,0,0,-0.1,0.2,0.2,26.7,24.5,31.8,13.6,28,21.2,9.1,8.7,7.2,53.1,45.9,45.3,41.9,48.7,44.5,12.6,14.9,12.8,26.7,7.2,0.4,0.4,0.5,0,0,0,7.7,25.7,25.9,69.8
15046,BROCKAGH,Wicklow,Mid East,Southern & Eastern Region,Ireland,1.1,-3.6,-4.2,1.1,3.4,0.1,754,733,776,733,733,365,132,24,0.02,0.02,0.01,0.01,0.01,0,0.1,-0.1,26.3,25,28.4,21.4,16.6,18.9,17.5,14.7,15.1,29.5,33.2,34.7,29.1,33.2,35.2,26,21.3,18.8,16.4,10.7,0.5,0.6,0.5,12.1,9.8,10.6,11.1,14,14.2,71.8
15047,CALARY,Wicklow,Mid East,Southern & Eastern Region,Ireland,5.8,1.1,2.1,5.8,8.2,5.4,277,285,302,333,333,98,21,2,0.01,0,0,0,0,0,0.1,0.1,29.5,33.4,42,6.7,2.9,7.9,15.4,14.1,12.9,34.6,36.4,39.3,48.1,49.7,53.2,7.5,11.2,8.1,5.6,8.6,0.5,0.4,0.5,0,0,0.9,9.3,12,16.8,79.4
15048,CRONEBANE,Wicklow,Mid East,Southern & Eastern Region,Ireland,-10.3,-11.4,-8.7,-10.3,-5.1,-4.6,471,494,478,469,469,317,138,29,0.01,0.01,0.01,0.01,0.01,0,0,0,33.4,29.5,29.6,14.7,9.8,14.3,31,25.3,19.4,19,19.9,25.9,22.5,31.2,35.2,25.9,15.5,22.9,19.6,16.4,0.5,0.5,0.5,7.8,9.9,7.8,6,4.9,4.8,85.6
15049,DUNGANSTOWN EAST,Wicklow,Mid East,Southern & Eastern Region,Ireland,3,-2.6,2.4,3,3.9,6,664,686,764,832,832,232,49,5,0.02,0.01,0,0,0.01,0,0.1,0.1,34.1,41,46.5,10.3,20.6,11.5,13.8,9.5,8.3,42.8,44,50,47.5,48,49.5,11.6,12.2,9.5,7.2,6.1,0.5,0.5,0.5,0.4,0,1,9.8,16.5,12.8,81.9
15050,DUNGANSTOWN SOUTH,Wicklow,Mid East,Southern & Eastern Region,Ireland,-1.1,-8,-4,-1.1,-1.6,0.3,682,748,840,903,903,436,163,35,0.02,0.02,0.02,0.01,0.02,0.1,0.1,0.1,40.2,36.5,34.1,17.5,18.9,20.6,20,16.7,12,25.2,26,32.6,30.5,37.4,39,16.9,18.9,18.1,13.5,13.8,0.5,0.5,0.5,9.1,10.1,11,4.5,10.9,11.2,73
15051,DUNGANSTOWN WEST,Wicklow,Mid East,Southern & Eastern Region,Ireland,0,-4.2,-1.5,0,2.4,3,419,416,453,458,458,175,44,5,0.01,0.01,0,0,0.01,0,0.1,0,34.1,35.3,32.8,6.1,21.8,20,17.4,11.3,9.8,33.2,32.3,40.7,35.8,43.5,34.7,18.6,18,23.2,10.7,9.1,0.5,0.5,0.5,2.3,1.9,2,8.3,14,10.6,84.1
15052,ENNEREILLY,Wicklow,Mid East,Southern & Eastern Region,Ireland,1.4,-6.2,-3.1,1.4,0.2,0.9,386,393,382,411,411,190,56,7,0.01,0.01,0.01,0,0.01,0,0,0.1,34.1,34.8,33.1,10,11.1,9.8,15.7,17.6,12.1,34,30.1,37,40.5,43.2,43.6,14,18.2,13.6,16.7,10.9,0.5,0.5,0.5,3.3,2.3,2.8,10.7,11.6,19.1,74.5
15053,GLENDALOUGH,Wicklow,Mid East,Southern & Eastern Region,Ireland,2.5,-8.7,-4.6,2.5,-2.3,-0.7,265,257,268,274,274,145,48,7,0.01,0.01,0,0,0,0,0,0,30,33.2,33.2,11.1,7.1,3.8,16.4,20.8,13.7,27.3,23,30.9,30.7,39.2,38.3,23,19.3,14.3,13.3,11.1,0.5,0.5,0.5,0,0,1,10.6,9.8,10.3,87.6
15054,GLENEALY,Wicklow,Mid East,Southern & Eastern Region,Ireland,0.4,-7.2,-3.9,0.4,-0.9,0.1,"2,480","2,468","2,750","2,724",2724,1331,546,136,0.06,0.06,0.05,0.04,0.05,0,0.2,0,31.4,33.3,34.1,16.7,14.4,18.8,14.6,15.8,11.5,31.4,30.2,36,35.6,39,42.1,16.1,14,15.8,15.1,13.2,0.5,0.5,0.5,10.2,8.7,10.3,9.8,15.1,12,75.8
15055,KILBRIDE,Wicklow,Mid East,Southern & Eastern Region,Ireland,0.3,-9.3,-8.3,0.3,-3,-4.7,805,825,909,889,889,600,275,64,0.02,0.03,0.03,0.02,0.02,0,0.1,0,32.5,35.4,40.8,9.9,7.6,11.4,22.8,22.2,18.4,28.7,26.1,32.6,38.7,37,37.8,16.6,20.5,14.8,18.1,13.8,0.4,0.5,0.5,1.6,0.6,1.5,7.7,10.4,10.6,83.8
15056,KILCOOLE,Wicklow,Mid East,Southern & Eastern Region,Ireland,11,3,4.7,11,10.1,8.7,"4,151","6,832","9,834","10,731",10731,2542,847,188,0.23,0.11,0.08,0.05,0.12,0.1,0.8,0.1,26.3,32.5,36.1,18.9,19.7,16.3,9.6,7.4,6.3,44.5,44,48.2,45.1,48.9,51.2,11.9,10.1,10.2,7.4,8.3,0.5,0.6,0.6,6.4,7.6,7.7,9,18.9,20.2,71.2
